epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3252.17,0.40165,1.13133,0.29385,0.92258,0.99574,0.99324,0.99468,0.96249,0.71769,0.71577,0.67199,0.64111,0.30296,1.04941,0.2161,0.86573,0.00065707,0.00065707,0.00065707
66,3303.52,0.39245,1.11583,0.2884,0.91072,0.99158,0.99066,0.99468,0.95946,0.73658,0.73578,0.6843,0.64487,0.31677,1.02314,0.21908,0.86952,0.000654321,0.000654321,0.000654321
67,3361.64,0.39258,1.10981,0.27925,0.9092,0.99133,0.99231,0.99444,0.95834,0.74436,0.74316,0.68882,0.65501,0.30569,0.98447,0.22096,0.86455,0.000651573,0.000651573,0.000651573
68,3412.77,0.39295,1.14312,0.28332,0.91294,0.99679,0.99002,0.99408,0.95747,0.74836,0.74261,0.70026,0.67067,0.31716,0.98634,0.21719,0.86826,0.000648824,0.000648824,0.000648824
69,3462.76,0.39685,1.11427,0.29178,0.90976,0.99519,0.99121,0.99406,0.96021,0.74048,0.73791,0.68726,0.65887,0.31211,0.97892,0.21384,0.86965,0.000646075,0.000646075,0.000646075
70,3514.3,0.39745,1.08613,0.29162,0.90872,0.99548,0.99331,0.99467,0.96597,0.72666,0.7244,0.68488,0.65938,0.28783,0.98759,0.20834,0.8609,0.000643326,0.000643326,0.000643326
71,3563.98,0.38897,1.11562,0.28109,0.91016,0.99536,0.99597,0.99491,0.96301,0.7139,0.71508,0.66611,0.64173,0.29905,0.98435,0.21112,0.86216,0.000640577,0.000640577,0.000640577
72,3613.07,0.39172,1.13908,0.28336,0.91448,0.99293,0.99152,0.99335,0.96564,0.73243,0.73243,0.67984,0.65101,0.28657,0.98089,0.20543,0.85611,0.000637828,0.000637828,0.000637828
73,3663.47,0.37774,1.08734,0.27069,0.90202,0.99373,0.99516,0.99382,0.96509,0.73363,0.73385,0.68549,0.65502,0.29627,0.97817,0.21295,0.86062,0.000635079,0.000635079,0.000635079
74,3714.24,0.38241,1.1218,0.27674,0.89743,0.99645,0.99506,0.99484,0.96646,0.73478,0.73361,0.68369,0.6524,0.29507,0.99316,0.20757,0.85904,0.00063233,0.00063233,0.00063233
75,3765.54,0.38627,1.12466,0.28222,0.90405,0.99656,0.9922,0.99475,0.96723,0.733,0.72963,0.69087,0.65675,0.28571,0.99295,0.20919,0.85643,0.000629581,0.000629581,0.000629581
76,3816.31,0.38836,1.10121,0.27808,0.90457,0.99572,0.97814,0.99406,0.96431,0.73072,0.71511,0.68291,0.65519,0.29237,0.97395,0.21723,0.85904,0.000626832,0.000626832,0.000626832
77,3866.16,0.38632,1.11113,0.27602,0.90675,0.99056,0.99678,0.99488,0.96734,0.73785,0.73718,0.70063,0.66952,0.28619,0.97388,0.2079,0.85574,0.000624084,0.000624084,0.000624084
78,3915.09,0.38758,1.08882,0.27727,0.9035,0.99706,0.99597,0.99495,0.96767,0.72796,0.72752,0.67875,0.65417,0.28791,1.02248,0.20184,0.85982,0.000621335,0.000621335,0.000621335
79,3964.5,0.39424,1.15265,0.28849,0.91158,0.99203,0.99524,0.99483,0.96088,0.72564,0.72676,0.6819,0.65295,0.30196,1.05333,0.21579,0.86195,0.000618586,0.000618586,0.000618586
80,4015.56,0.38513,1.09721,0.27997,0.90383,0.99579,0.99199,0.99489,0.96113,0.74399,0.74309,0.68948,0.6548,0.3044,0.98673,0.21711,0.86295,0.000615837,0.000615837,0.000615837
81,4066.99,0.38903,1.10342,0.28013,0.90365,0.99747,0.99275,0.99492,0.96187,0.73264,0.72922,0.68307,0.65793,0.29101,0.97142,0.20806,0.85684,0.000613088,0.000613088,0.000613088
82,4117.82,0.38207,1.10008,0.27828,0.9035,0.98896,0.99553,0.99476,0.96158,0.73554,0.73979,0.68144,0.65095,0.301,0.97502,0.21237,0.86384,0.000610339,0.000610339,0.000610339
83,4170.33,0.38291,1.07713,0.28581,0.9064,0.99484,0.99364,0.99484,0.96613,0.74849,0.74629,0.70903,0.68334,0.29257,0.96401,0.20407,0.86085,0.00060759,0.00060759,0.00060759
84,4220.29,0.37981,1.11663,0.2765,0.9043,0.99739,0.99406,0.99466,0.96887,0.75257,0.7501,0.69779,0.66931,0.28736,0.95595,0.20138,0.85778,0.000604841,0.000604841,0.000604841
85,4269.93,0.37786,1.11649,0.2715,0.89505,0.99539,0.99596,0.99478,0.9677,0.72754,0.72858,0.68573,0.66225,0.28742,0.9866,0.19721,0.85766,0.000602092,0.000602092,0.000602092
86,4320.61,0.38078,1.06326,0.26912,0.90163,0.99427,0.99135,0.99441,0.96756,0.7405,0.73863,0.69417,0.6655,0.28863,0.9527,0.20578,0.85434,0.000599343,0.000599343,0.000599343
87,4371.27,0.3738,1.12048,0.27113,0.89898,0.99809,0.99558,0.99491,0.97025,0.72938,0.72743,0.67491,0.65014,0.27292,0.94222,0.19195,0.84943,0.000596595,0.000596595,0.000596595
88,4423.17,0.38769,1.09973,0.28225,0.90997,0.99607,0.98151,0.99477,0.96542,0.73798,0.72262,0.68223,0.65753,0.28906,0.94039,0.21041,0.85688,0.000593846,0.000593846,0.000593846
