epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3165.98,0.41435,1.14403,0.32775,0.88897,0.99135,0.99365,0.99415,0.95303,0.71418,0.71426,0.66378,0.62233,0.31537,1.06284,0.22928,0.84136,0.0004809,0.0004809,0.0004809
70,3212.26,0.41782,1.15782,0.32435,0.89341,0.99288,0.98038,0.99275,0.95283,0.73616,0.72693,0.67583,0.62979,0.32755,1.05632,0.23619,0.84414,0.000472344,0.000472344,0.000472344
71,3258.67,0.42165,1.14562,0.32801,0.89289,0.98777,0.98716,0.99319,0.95446,0.7025,0.70125,0.65081,0.61327,0.31542,1.05299,0.24444,0.83893,0.000463766,0.000463766,0.000463766
72,3306.87,0.41771,1.16036,0.31898,0.89088,0.99229,0.99294,0.994,0.95705,0.71025,0.71,0.65593,0.62109,0.30783,1.05561,0.22476,0.835,0.000455168,0.000455168,0.000455168
73,3354.04,0.41597,1.18122,0.31586,0.88708,0.98805,0.98931,0.99371,0.95201,0.73731,0.73674,0.68674,0.63822,0.32391,1.02648,0.22865,0.84089,0.000446556,0.000446556,0.000446556
74,3401.52,0.41303,1.15111,0.31336,0.88738,0.98462,0.99006,0.99387,0.95984,0.72488,0.7262,0.67197,0.63222,0.30274,1.02321,0.22659,0.83238,0.000437932,0.000437932,0.000437932
75,3447.47,0.40535,1.14748,0.30687,0.88832,0.99494,0.98164,0.99421,0.95658,0.73214,0.73465,0.68364,0.64063,0.3193,1.02622,0.22637,0.83909,0.0004293,0.0004293,0.0004293
76,3494.19,0.40138,1.12559,0.30263,0.88563,0.99427,0.99375,0.99445,0.95768,0.74216,0.74108,0.68726,0.64925,0.30658,1.00968,0.2132,0.83637,0.000420665,0.000420665,0.000420665
77,3540.91,0.40698,1.1446,0.31282,0.88323,0.99257,0.99348,0.99456,0.9582,0.71445,0.71583,0.65296,0.6185,0.30763,1.03149,0.21902,0.83796,0.00041203,0.00041203,0.00041203
78,3588.44,0.40707,1.13724,0.30603,0.88584,0.99329,0.99029,0.99437,0.95513,0.71498,0.71255,0.67114,0.63116,0.32514,1.08675,0.2257,0.84186,0.000403398,0.000403398,0.000403398
